Year,State,Population,Total Religous,Christianity,Islam,Hinduism,Buddhism,Noreligion,Syncretism,Judaism,Sikhism,Code,Continent,GDP per Capita
1970,Iraq,9440000,9378199,313800,9062399,0,0,0,0,2000,0,IRQ,Asia,330.88536853547
1970,Ireland,2978248,2924931,2915103,298,0,0,6254,0,2680,0,IRL,Europe,1486.51452734638
1970,Italy,53822000,53810000,47538860,43381,0,2018,6184148,0,37352,0,ITA,Europe,2106.86395924945
1970,Jamaica,1810000,1639371,1445671,3000,5600,300,182000,0,1800,0,JAM,North America,748.959458062963
1970,Japan,103403000,165664094,3089578,0,4984,72382100,10981399,39914,997,0,JPN,Asia,2056.12204597008
1970,Jordan,2299000,2298990,114950,2138060,0,0,45980,0,0,0,JOR,Asia,371.574494854337
1970,Kenya,11247000,11147161,6954849,735554,62983,0,2002,0,700,13047,KEN,Africa,141.88049343751
1970,Kuwait,747000,717120,37350,672300,7470,0,0,0,0,0,KWT,Asia,3860.57900686335
1970,Lesotho,1064000,1063925,867092,546,62,0,618,0,0,0,LSO,Africa,66.8059296818009
1970,Luxembourg,339000,338046,325050,498,0,0,10800,0,698,0,LUX,Europe,4298.03389742102
1970,Madagascar,6860000,6859956,3455264,117306,1310,2092,4191,4191,105,0,MDG,Africa,169.070560105029
1970,Malawi,4606000,4605626,2709383,750216,5067,0,507,0,82,203,MWI,Africa,61.7655238910576
1970,Malaysia,10390000,10340628,543620,5195285,765743,656648,22889,2559330,0,28572,MYS,Asia,357.656799363809
1970,Mali,5484000,5482324,77611,4400377,0,0,4201,0,0,0,MLI,Africa,60.4756804981721
1970,Malta,303000,302998,301304,0,50,0,1494,0,50,0,MLT,Europe,828.421680335959
1970,Mauritania,1221000,1220999,6674,1212494,0,0,646,0,0,0,MRT,Africa,269.804491948694
1970,Mexico,50596000,50069846,47914284,15000,0,15000,2037562,0,35000,0,MEX,North America,689.79492874498
1970,Morocco,14973000,14887489,243000,14623270,0,0,0,0,21219,0,MAR,Africa,246.01566223864
1970,Myanmar,27034000,26987806,1393749,1032699,464985,20862636,78507,82724,207,5163,MMR,Asia,77.6842592349614
1970,Nepal,11327000,11326866,7023,314891,8345190,1330576,38047,0,0,0,NPL,Asia,71.718591135228
1970,Netherlands,13032000,12599765,11212975,60338,1006,4027,1273487,15117,30104,0,NLD,Europe,2927.07293946175
1970,Nicaragua,2053000,1929863,1902333,0,0,1000,20530,0,200,0,NIC,North America,322.700294604053
1970,Niger,4024000,4022618,15562,3400711,0,0,2598,0,0,0,NER,Africa,144.085093870703
1970,Nigeria,55070000,55058933,21788872,22617710,0,480,115041,0,0,0,NGA,Africa,224.104484659025
1970,Norway,3877000,3828982,3590168,3993,0,100,232620,0,899,0,NOR,Europe,3306.21947607769
1970,Oman,745000,745000,0,745000,0,0,0,0,0,0,OMN,Asia,354.08210084565
1970,Pakistan,128724000,128723088,2506636,124130072,1929245,4338,25964,2163,542,4338,PAK,Asia,172.465666075121
1970,Panama,1506000,1496322,1415422,55000,0,1500,0,3000,2000,0,PAN,North America,889.237707712702
1970,Paraguay,2350000,2279691,2232000,0,0,1892,12126,0,1135,0,PRY,South America,240.270503775163
1970,Peru,13193000,13119007,13001607,150,0,10000,16500,1500,2500,0,PER,South America,552.179768700134
1970,Philippines,36684000,36679457,34409552,1617764,1034,51724,101395,72267,517,5172,PHL,Asia,211.129088431363
1970,Portugal,9044000,9043999,8722040,833,0,0,317897,0,1357,0,PRT,Europe,934.082156096117
1970,Qatar,120000,120000,0,120000,0,0,0,0,0,0,QAT,Asia,2755.55648497824
1970,Rwanda,3690000,3689922,2256319,307008,985,0,0,0,0,0,RWA,Africa,58.5252764514148
1970,Saudi Arabia,5745000,5687550,0,5687550,0,0,0,0,0,0,SAU,Asia,921.335053209184
1970,Senegal,4396000,4296524,229500,3646780,0,371,60973,8,0,0,SEN,Africa,304.734090601725
1970,Sierra Leone,2656000,2655942,223141,1035563,1434,0,0,0,0,0,SLE,Africa,158.261487259653
1970,Singapore,2075000,2064802,161773,373180,120143,200030,64030,1124392,400,20003,SGP,Asia,925.80391294265
1970,Somalia,4791000,4790897,6516,4778000,666,0,4786,0,0,0,SOM,Africa,93.6546804964154
1970,South Africa,22458000,22444724,17146838,269496,431194,2246,154781,1637,119477,3998,ZAF,Africa,834.552502866869
1970,Spain,33779000,33766218,33118261,12782,0,500,618089,1000,11600,0,ESP,Europe,1212.28932639401
